business_name,website_url,google_maps_url,category,phone,address,city,state,rating,review_count,owner_name,owner_title,email,contact_form_url,facebook_url,instagram_url,linkedin_url,twitter_url,youtube_url,tiktok_url,source_urls,notes
Restaurant Casa Veche (Tiple),https://restaurantcasaveche.ro/,Not found,Romanian Restaurant,+40 744 616 133,Strada Iuliu Maniu 27,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/RestaurantCasaVecheSighet/,Not found,Not found,Not found,Not found,Not found,https://restaurantcasaveche.ro/ | https://www.tripadvisor.com/Restaurant_Review-g608955-d6458570-Reviews-Casa_Veche-Sighetu_Marmatiei_Maramures_County_Northwest_Romania_Transylvania.html | https://sighetu-marmatiei.cylex.ro/firma/casa+veche-699532.html,Order line 0747 875 045; 260-seat capacity; Romanian/Maramures cuisine
Casa Tiple,Not found,Not found,Restaurant,Not found,"Strada Iuliu Maniu, Nr. 27",Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,https://firmania.ro/sighetu-marmatiei/casa-tiple-215101,Same address as Restaurant Casa Veche - may be a legacy/alternate directory name for the same business; verify before outreach
Hotel Restaurant Gradina Morii,https://hotelgradinamorii.ro/en/gradina-morii-hotel-restaurant/,Not found,Hotel Restaurant,Not found,Strada Mihai Eminescu 97,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,https://hotelgradinamorii.ro/en/contact-us/,https://www.facebook.com/HotelGradinaMorii/,Not found,Not found,Not found,Not found,Not found,https://hotelgradinamorii.ro/en/gradina-morii-hotel-restaurant/ | https://restaurantgradinamorii.metro.rest/?lang=en,Romanian cuisine; garden-style restaurant
Casa Iurca de Calinesti,http://www.casaiurca.ro/,Not found,Restaurant / Guesthouse Restaurant,+40 262 318 882,Strada Dragos-Voda Nr. 14,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,office@casaiurca.ro,Not found,https://www.facebook.com/casaiurcadecalinesti/,Not found,Not found,Not found,Not found,Not found,https://meniu.menu/restaurants/sighetu-marmatiei/restaurant-casa-iurca-de-calinesti | https://sighetu-marmatiei.cylex.ro/firma/casa+iurca+de+calinesti-565728.html | https://viagastrocarpathia.com/locations/casa-iurca-de-calinesti/,Also lists +40 371 056 449 and +40 723 633 509; 150-seat restaurant + 60-seat terrace
Casa Petrovai,https://www.casapetrovai.ro/,Not found,Restaurant / Guesthouse Restaurant,+40 767 454 137,Strada Teplitei Nr. 74A,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,office@casapetrovai.ro,https://www.casapetrovai.ro/contact.php,https://www.facebook.com/CasaPetrovai/,Not found,Not found,Not found,Not found,Not found,https://www.casapetrovai.ro/contact.php | https://www.weddingo.ro/locatii-nunta/maramures/casa-petrovai,Fax +40 362 103 331; traditional Romanian dishes; near Tisa/Teplita rivers
Napoca Lunch Sighet,Not found,Not found,Restaurant / Fast Food,+40 746 287 947,Strada Traian 29,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/NapocaLunch/,Not found,Not found,Not found,Not found,Not found,https://deschis.ro/sighetu-marmatiei/napoca-lunch-sighet-97611 | https://sighetu-marmatiei.cylex.ro/firma/napoca+lunch+sighet-1200022.html,"Pizza, salads, pasta, coffee; delivery available"
Napoca Pizza,Not found,Not found,Pizzeria,Not found,Sighetu Marmatiei,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/p/Napoca-Pizza-100054346578281/,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/p/Napoca-Pizza-100054346578281/,Possibly related to Napoca Lunch (similar name) - verify before outreach to avoid duplicate contact
Pizzeria Romina,Not found,Not found,Pizzeria,Not found,Strada Bogdan Voda (near main roundabout),Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,https://au.trip.com/restaurant/romania/sighetu%20marmatiei/detail/Pizzeria%20Romina-37661873,Exact street number not found
Cafe Tabac,Not found,Not found,Cafe-Bar,Not found,Strada Bogdan Voda,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Search snippet aggregation (restaurante Sighetu Marmatiei),Central Sighet location
Carisma (CarismaPub),Not found,Not found,Pub / Steampunk-themed Bar,+40 744 492 735,Strada Iuliu Maniu 24,Sighetu Marmatiei,Maramures,4.6,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/CarismaPub/,https://www.instagram.com/carismapub/,Not found,Not found,Not found,Not found,https://www.tripadvisor.com/Restaurant_Review-g608955-d15078333-Reviews-Carisma-Sighetu_Marmatiei_Maramures_County_Northwest_Romania_Transylvania.html | https://restaurantguru.com/Carisma-Sighetu-Marmatiei,"Rating 4.6/5 on Tripadvisor (No. 2 of 23); Restaurant Guru shows a much lower 2.1/5 with 528 reviews - ratings conflict across platforms, verify current standing"
